Eco_typ,plot_id
GaPs,AD238
Ga,AD239
Ga,AD240
Ga,AD241
Ga,AD242
Ga,AD243
Ga,AD244
Ga,AD245
Ga,AD246
Ga,AD247
Ga,AD248
Ga,AD249
Ga,AD250
Ga,AD251
Gp,AD252
Ga,AD253
Ps,AD254
Ga,AD255
Ga,AD256
PoPs,AD257
PoPs,AD258
PsGa,AD259
PoPs,AD260
GaPs,AD261
Ps,AD262
PoGa,AD263
PsPo,AD264
PsGa,AD265
GaGpPs,AD266
PoPs,AD267
Ga,AD268
Ps,AD269
Ps,AD270
Ga,AD271
GaGp,AD272
Ps,AD273
PoGa,AD274
PoGa,AD275
PsPo,AD276
GaPo,AD277
Ps,AD278
Ps,AD279
Ps,AD280
Ps,AD281
Ps,AD282
Ps,AD283
Ps,AD284
Ps,AD285
Ps,AD286
GaPo,AD287
Ga,AD288
Ps,AD289
Ps,AD290
Ps,AD291
GaPs,AD292
Ga,AD293
Ga,AD294
GaPs,AD295
PoPs,AD296
Po,AD297
Ps,AD298
PoPsGa,AD299
PoGa,AD300
Ga,AD301
Ga,AD302
Ga,AD303
Ga,AD304
Ga,AD305
Ga,AD306
Ga,AD307
Ga,AD308
Ga,AD309
Ga,AD310
Ga,AD311
Ga,AD312
Ga,AD313
Ga,AD314
Ga,AD315
Ga,AD316
Ga,AD317
GpPs,AD318
PsPo,AD319
Po,AD320
Po,AD321
PoPs,AD322
Ga,AD323
Ga,AD324
PsPo,AD325
GaPs,AD326
PoGa,AD327
Ps,AD328
Ga,AD329
Ps,AD330
GaPs,AD331
GaPs,AD332
PsGa,AD333
Ps,AD334
GaPs,AD335
Ga,AD336
Ga,AD337
Ga,AD338
Ga,AD339
Ga,AD340
Ga,AD341
Ga,AD342
Ga,AD343
Ga,AD344
Ga,AD345
GaPo,AD346
Ps,AD347
Ps,AD348
Ps,AD349
Gp,AD350
Gp,AD351
Gp,AD352
Gp,AD353
Gp,AD354
Gp,AD355
PsGa,AD356
Ps,AD357
Ps,AD358
Ga,AD359
Ga,AD360
GaPsPo,AD361
Po,AD362
Ps,AD363
Ga,AD364
Gp,AD365
Gp,AD366
PoPs,AD367
GaPs,AD368
Gp,AD369
Gp,AD370
Gp,AD371
Gp,AD372
Ps,AD373
Ps,AD374
Ps,AD375
Ga,AD376
GaPs,AD377
PoPs,AD378
Ga,AD379
Ps,AD380
PoGa,AD381
Ps,AD382
Gp,AD383
Ga,AD384
PsPo,AD385
Ga,AD386
GaPs,AD387
Gp,AD388
GaPs,AD389
Po,AD390
Po,AD391
Po,AD392
Ga,AD393
PsGp,AD394
Gp,AD395
PoGa,AD396
Ga,AD397
PoPs,AD398
Ga,AD399
GaPo,AD400
Ps,AD401
Ga,AD402
Ga,AD403
Ga,AD404
Ga,AD405
Ga,AD406
Ga,AD407
Ga,AD408
Ga,AD409
Ga,AD410
Ga,AD411
Ga,AD412
Ga,AD413
Ga,AD414
GaPs,AD415
GaPs,AD416
PoPs,AD417
Gp,AD418
GaPo,AD419
PoGa,AD420
Ga,AD421
Ga,AD422
